Canon EOS 1200D,Canon EOS 100D,Nikon DSC D3200
Shutter Speed,Shutter Speed,Shutter Speed
bulb,bulb,Bulb
30,30,30.0000s
25,25,25.0000s
20,20,20.0000s
15,15,15.0000s
13,13,13.0000s
10,10,10.0000s
8,8,8.0000s
6,6,6.0000s
5,5,5.0000s
4,4,4.0000s
3.2,3.2,3.0000s
2.5,2.5,2.5000s
2,2,2.0000s
1.6,1.6,1.6000s
1.3,1.3,1.3000s
1,1,1.0000s
0.8,0.8,0.7692s
0.6,0.6,0.6250s
0.5,0.5,0.5000s
0.4,0.4,0.4000s
0.3,0.3,0.3333s
1/4,1/4,0.2500s
1/5,1/5,0.2000s
1/6,1/6,0.1666s
1/8,1/8,0.1250s
1/10,1/10,0.1000s
1/13,1/13,0.0769s
1/15,1/15,0.0666s
1/20,1/20,0.0500s
1/25,1/25,0.0400s
1/30,1/30,0.0333s
1/40,1/40,0.0250s
1/50,1/50,0.0200s
1/60,1/60,0.0166s
1/80,1/80,0.0125s
1/100,1/100,0.0100s
1/125,1/125,0.0080s
1/160,1/160,0.0062s
1/200,1/200,0.0050s
1/250,1/250,0.0040s
1/320,1/320,0.0031s
1/400,1/400,0.0025s
1/500,1/500,0.0020s
1/640,1/640,0.0015s
1/800,1/800,0.0012s
1/1000,1/1000,0.0010s
1/1250,1/1250,0.0008s
1/1600,1/1600,0.0006s
1/2000,1/2000,0.0005s
1/2500,1/2500,0.0004s
1/3200,1/3200,0.0003s
1/4000,1/4000,0.0002s
